dealer,model,slot,market,freight,date
4,53ET4X <EQUIPMENT>,44.0,0.0,0.0,2021-05-17
4,42ET3X <EQUIPMENT>,44.0,0.0,0.0,2021-05-17
4,48ET3X <EQUIPMENT>,44.0,0.0,0.0,2021-05-17
4,53ET3X <EQUIPMENT>,44.0,0.0,0.0,2021-05-17
4,360 <SCREENER>,44.0,0.0,0.0,2021-05-17
4,14CR1X <CABLE REEL>,44.0,0.0,0.0,2021-05-17
4,11CD1X <CONVERTERS/BOOSTERS>,44.0,0.0,0.0,2021-05-17
4,11SB1X SB <CONVERTERS/BOOSTERS>,44.0,0.0,0.0,2021-05-17
4,11SB1X <CONVERTERS/BOOSTERS>,44.0,0.0,0.0,2021-05-17
4,22CD2X <CONVERTERS/BOOSTERS>,44.0,0.0,0.0,2021-05-17
4,11SB2X SB <CONVERTERS/BOOSTERS>,44.0,0.0,0.0,2021-05-17
4,LP14 <AGRICULTURE>,44.0,0.0,0.0,2021-05-17
4,LP18 <AGRICULTURE>,44.0,0.0,0.0,2021-05-17
4,20PC2X <CHASSIS>,44.0,0.0,0.0,2021-05-17
4,40CC3X <CHASSIS>,44.0,0.0,0.0,2021-05-17
4,40CC3X53EXT <CHASSIS>,44.0,0.0,0.0,2021-05-17
4,30CC2X <CHASSIS>,44.0,0.0,0.0,2021-05-17
4,12CC2X <CHASSIS>,44.0,0.0,0.0,2021-05-17
4,22CC2X <CHASSIS>,44.0,0.0,0.0,2021-05-17
4,42CC3X <CHASSIS>,44.0,0.0,0.0,2021-05-17
4,20CC2X <CHASSIS>,44.0,0.0,0.0,2021-05-17
4,20CC3X <CHASSIS>,44.0,0.0,0.0,2021-05-17
