Text0,Text5,Text12,Text10,Text13,Text14,JobDesc,Text68,Text25,Text27,Text29,Text31,Text33,Text35,Text66,Text15,Text17,Text19,Text21,Text23,Text67,StockCode,StockDescription,Uom,WarehouseToUse,QtyRequired,QtyIssued,QtyVariance,ValueRequried,,ValueIssued,,Variance,,Text37,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,11,100530,"DECAL WARNING ""FULLY CHARGED",EA,04,1,0,-1,2,,0,,-2,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,11,100601,"DECAL WARNING ""METHYL HYDRATE""",EA,04,1,0,-1,3.1,,0,,-3.1,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,11,100651,"DECAL WARNING ""AXLE RESTRAINT""",EA,04,1,0,-1,1.37,,0,,-1.37,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,11,100746,DECAL CONNECTOR PIN LABEL,EA,04,1,0,-1,0.85,,0,,-0.85,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,11,101160,"DECAL ""NEW BWS""",EA,04,1,0,-1,4.73,,0,,-4.73,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,11,101385,DECAL TORQUE AXLE,EA,04,2,0,-2,3.9,,0,,-3.9,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,11,101405,DECAL ABS,EA,04,1,0,-1,0.3,,0,,-0.3,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,11,101416,DECAL CAUTION ADJUST LIFT,EA,04,1,0,-1,0.7,,0,,-0.7,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,11,40854,SERIAL TAG CARD STOCK,EA,01,1,0,-1,1.36,,0,,-1.36,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,13,02561,"BUSHING SNAP IN SB750-625 5/8""",EA,04,50,0,-50,4.7,,0,,-4.7,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,13,03022,BOLT HEX SS 1/4 X 1 UNC,EA,01,20,0,-20,2.21,,0,,-2.21,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,13,03066,BOLT HEX 5/16 X 1 UNC,EA,01,4,0,-4,0.27,,0,,-0.27,,-100,,,,,,,,,,,,
